reg	id	nombrepuerta	numeroserie	ip	puerto	status	id_area	modelo	versionfirmware	fechainstalac	fechabaja
1	2	SAN MARTIN A	5642013010449	172.16.242.248	4370	0	1		AC Ver 5.0.9 Apr 23		
2	3	SAN MARTIN B	5642013010905	172.16.254.48	4370	0	1		AC Ver 5.0.9 Jul 19 		
3	5	SAN MARTIN C	5652012060946	172.16.177.10	4370	0	1		AC Ver 5.2.5 Jun  6		
4	11	CANDIOTI GALPÓN	5642013010442	172.16.210.60	4370	0	2		AC Ver 5.0.9 Apr 23		
5	14	CANDIOTI FRENTE	5642012050387	172.16.154.250	4370	0	2		AC Ver 5.0.9 Apr 23		
1	17	CANDIOTI PATIO	564140900003	172.16.177.11	4370	0	2		AC Ver 5.0.9 Apr 23		
2	21	ARISTOBULO	6564152600009	172.16.252.9	4370	0	3		AC Ver 5.2.2 Jul 16		
3	23	GORRITI GALPON	OAR6100016100700041	172.16.215.250	4370	0	4		AC Ver 5.6.8 Jun 22		
4	24	GORRITI LOCAL	AJYE181160040	172.16.227.252	4370	0	4		AC Ver 5.6.8 Jun 22		
5	27	EDIF PARQ INDUSTRIAL	OAR7060037052800050	190122240197	4370	0	5		AC Ver 5.6.8 Jun 22		
1	29	PARQ IND MEDICIONES	BOBR183160033	190122240186	4370	0	5		Ver 6.60 Jan 23 2015		
2	30	COMPUTOS	5642013010920	172.16.251.207	4370	0	5		AC Ver 5.0.9 4609-03		
3	32	COMPUTOS – SERV	5652013050016	172.16.219.50	4370	0	6		AC Ver 5.0.9 23		
4	33	COMPUTOS – SALA	5642013220920	172.16.144.205	4370	0	6		AC Ver 5.0.9 Apr 23		
5	39	PARANA 1	BOBR184360268	190122249202	4371	0	6		Ver 6.60 Jan 23 2015		
1	40	PARANA 2	AJYE182160041	172.16.176.36	4370	0	6		AC Ver 5.6.8 Jun 22		
